a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,SnO2-c,60,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.91
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,30.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,15.8
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,30.0 | 150.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,14.4
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp | Au@SiO2-np,30.0 | 150.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,19.7
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp | Au@SiO2-np,30.0 | 150.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.5
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp | Au@SiO2-np,30.0 | 150.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,20.5
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp | Au@SiO2-np,30.0 | 150.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,20.6
Cs, FA, MA,,0.05,0.7885,0.1615,,Pb,,1,,Br, I,,0.51,2.49,,100,40,Cr2O3,92,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.54
Cs, FA, MA,,0.05,0.7885,0.1615,,Pb,,1,,Br, I,,0.51,2.49,,100,40,Cr2O3,68,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.63
Cs, FA, MA,,0.05,0.7885,0.1615,,Pb,,1,,Br, I,,0.51,2.49,,100,40,Cr2O3,63,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.62
Cs, FA, MA,,0.05,0.7885,0.1615,,Pb,,1,,Br, I,,0.51,2.49,,100,40,Cr2O3,54,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.07
Cs, FA, MA,,0.05,0.7885,0.1615,,Pb,,1,,Br, I,,0.51,2.49,,100,40,Cr2O3,63,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.89
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c,60,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,13.86
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c,60,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,10.91
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-mp,100,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,14.92
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-mp,100,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,13.42
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,60.0 | 100.0,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,16.82
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,60.0 | 100.0,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,15.74
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-mp | TiO2-c,100.0 | 60.0,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,13.45
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-mp | TiO2-c,100.0 | 60.0,Spiro-MeOTAD,Co; Li-TFSI; TBP,DMF; DMSO,9.88
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.31
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c,30,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,17.11
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c,30,Thiophene | Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.46
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.45,2.55,,100,60,TiO2-c,30,Thiophene | Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,18.02
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.16
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,12.25
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.93
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.8
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.18
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.13
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.81
Cs, FA,,,0.125,0.875,,,Pb,,1,,Br, I,,0.375,2.625,,145,40,SnO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.08
