a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
MA,,,,1,,,,Pb,,1,,I,,,3,,,110.0 >> 110.0,5.0 >> 5.0,TiO2-c | TiO2-mp,60.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,7.78
MA,,,,1,,,,Pb,,1,,I,,,3,,,110.0 >> 110.0,5.0 >> 5.0,TiO2-c | TiO2-mp,60.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,3.89
MA,,,,1,,,,Pb,,1,,I,,,3,,,110.0 >> 110.0,5.0 >> 5.0,TiO2-c | TiO2-mp,60.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,10.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,8.9
MA,,,,1,,,,Pb,,1,,Br,,,3,,,70,Unknown,TiO2-c | TiO2-mp,40.0 | 350.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,2.68
MA,,,,1,,,,Pb,,1,,Br,,,3,,,80,Unknown,TiO2-c | TiO2-mp,40.0 | 350.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,2.74
MA,,,,1,,,,Pb,,1,,Br,,,3,,,90,Unknown,TiO2-c | TiO2-mp,40.0 | 350.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,2.49
MA,,,,1,,,,Pb,,1,,Br,,,3,,,100,Unknown,TiO2-c | TiO2-mp,40.0 | 350.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,2.64
MA,,,,1,,,,Pb,,1,,Br,,,3,,,110,Unknown,TiO2-c | TiO2-mp,40.0 | 350.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,2.47
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0; 70.0,10.0 >> 10.0; 15.0,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF >> IPA,12.56
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0; 70.0,10.0 >> 10.0; 15.0,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF >> IPA,14.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0; 70.0,10.0 >> 10.0; 15.0,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF >> IPA,17.62
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0; 70.0,10.0 >> 10.0; 15.0,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF >> IPA,15.97
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0; 70.0,10.0 >> 10.0; 15.0,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF >> IPA,8.24
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 100.0,10.0 >> 20.0,TiO2-c | TiO2-mp,50.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,13.84
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 100.0,10.0 >> 20.0,TiO2-c | TiO2-mp,50.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,14.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0; 100.0,15.0; 15.0,SnO2-np,10,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,14
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0; 100.0,15.0; 15.0,SnO2-np,10,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,13.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,120,45,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,120,45,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,120,45,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF,16.9
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,60,Fe2O3,150,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.76
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,PCBM-60 | bis-C60,10.0 | 10.0,CuSCN,F4-TCNQ,DMF; DMSO,14.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,PCBM-60 | bis-C60,10.0 | 10.0,CuSCN,F4-TCNQ,DMF; DMSO,12.79
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,PCBM-60 | bis-C60,10.0 | 10.0,CuSCN,F4-TCNQ,DMF; DMSO,10.46
MA,,,,1,,,,Pb,,1,,I,,,3,,,90.0 >> 150.0,10.0 >> 15.0,TiO2-c | TiO2-mp,nan | 224.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,14.77
MA,,,,1,,,,Pb,,1,,I,,,3,,,90.0 >> 150.0,10.0 >> 15.0,TiO2-c | TiO2-mp,nan | 140.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.28
MA,,,,1,,,,Pb,,1,,I,,,3,,,90.0 >> 150.0,10.0 >> 15.0,TiO2-c | TiO2-mp,nan | 224.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,14.39
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,40,TiO2-c | TiO2-mp,40.0 | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,18.26
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,40,TiO2-c | TiO2-mp,40.0 | 100.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMSO,18.61
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,2.83
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,5.16
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,4.29
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,5.44
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,6.96
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,6.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-c | TiO2-mp,50.0 | 300.0,Spiro-MeOTAD,Li-TFSI; TBP,GBL,5.69
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,0.08
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,0.06
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,0.07
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,1.41
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,1.14
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,1.24
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,2.78
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,2.06
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,2.53
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,3.7
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,3.15
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,3.36
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,1.98
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,1.62
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,1.75
MA,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,15,TiO2-c | TiO2-mp,50.0 | 200.0,Spiro-MeOTAD,"2,6-ludidine; Li-TFSI",DMSO,3.46
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.34
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,12.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,PCBM-60-mp,100,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,14.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,TiO2-c | TiO2-mp,nan | 100.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,13.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,5,PCBM-60-mp,100,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,15.4
MA,,,,1,,,,Pb,,1,,Br,,,3,,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,4.2
MA,,,,1,,,,Pb,,1,,Br, I,,0.9,2.1,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,8.35
MA,,,,1,,,,Pb,,1,,Br, I,,0.6,2.4,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,11.33
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,7.59
MA,,,,1,,,,Pb,,1,,Br, I,,0.6,2.4,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,14.57
MA,,,,1,,,,Pb,,1,,Br, I,,0.6,2.4,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,15.11
MA,,,,1,,,,Pb,,1,,Br, I,,0.6,2.4,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,11.5
MA,,,,1,,,,Pb,,1,,Br, I,,0.9,2.1,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,8.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,7.5
MA,,,,1,,,,Pb,,1,,Br,,,3,,,100.0 >> 100.0,10.0 >> 10.0,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO >> IPA,4
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,21.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-mp,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,18.12
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,600,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,17.41
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,20.54
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-mp,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,16.26
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,600,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,15.88
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,19
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,18
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,19.22
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,21.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,20.08
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,15,TiO2-nw,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO; NMP,18.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.51
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.17
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,10.07
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.21
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.23
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.16
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.13
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,10.07
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.68
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,10.71
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.65
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.83
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,30,TiO2-c | TiO2-nw,55.0 | 650.0,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.7
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,30,PCBM-60 | BCP,100.0 | nan,NiO-c,Cu,DMSO; GBL,14.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,30,PCBM-60 | BCP,100.0 | nan,NiO-c,Cu,DMSO; GBL,8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,30,PCBM-60 | BCP,100.0 | nan,NiO-c,Cu,DMSO; GBL,13.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,30,PCBM-60 | BCP,100.0 | nan,NiO-c,Cu,DMSO; GBL,7
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,30,PCBM-60 | BCP,100.0 | nan,NiO-c,Cu,DMSO; GBL,15.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70,30,PCBM-60 | BCP,100.0 | nan,NiO-c,Cu,DMSO; GBL,11
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60; PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60; PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60; PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60; PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60; PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,70; 100,1.0; 10.0,PCBM-60; PCBDAN,50,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-nw,nan | 400.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,2.88
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-nw,nan | 400.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,9.19
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-nw,nan | 400.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,7.72
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-mp,nan | 400.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,9.59
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-nw,nan | 400.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,9.19
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,30.0 >> 30.0,TiO2-c | TiO2-nw,nan | 400.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> IPA,12.78
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,10,ZnO-c | Al2O3-mp,30.0 | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,13.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,25,30,ZnO-c | Al2O3-mp,30.0 | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.96
MA,,,,1,,,,Pb,,1,,I,,,3,,,25,30,ZnO-c | Al2O3-mp,30.0 | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,3.02
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,14.29
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,13.57
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,15.84
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,15.96
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,14.96
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,8.11
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,13.99
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,15.1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,14.31
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,16.3
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,17.19
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,15.75
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,10.15
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,14.49
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,14.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,13.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,15.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,16.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,15
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,8.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,20,TiO2-c,40,Spiro-MeOTAD,Li-TFSI,DMF,13.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,1
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,2
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,8
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,10
MA,,,,1,,,,Pb,,1,,I,,,3,,,100,90,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF,12.8
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,5.0 >> 5.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> none,1.5
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,5.0 >> 5.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> none,7.2
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,5.0 >> 5.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> none,9.6
MA,,,,1,,,,Pb,,1,,I,,,3,,,70.0 >> 70.0,5.0 >> 5.0,TiO2-c | TiO2-mp,70.0 | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF >> none,10.7
